"Sample","Animal.Number","Eubacterium Relative Abundance (%)","Acholeplasmataceae Relative Abundance (%)","Clostridiaceae Relative Abundance (%)","Erysipelotrichaceae Relative Abundance (%)","Lachnospiraceae Relative Abundance (%)","Lactobacillaceae Relative Abundance (%)","Muribaculaceae Relative Abundance (%)","Oscillospiraceae Relative Abundance (%)","Peptostreptococcaceae Relative Abundance (%)","Ruminococcaceae Relative Abundance (%)","Family < 1% Relative Abundance (%)"
"100-20210603","Pre 369",0.215836844964541,0.728265817023213,4.41070668213253,9.01375776351917,18.1846212577268,26.4657083706521,34.2652003465136,1.84268871041156,2.99675510593625,1.08652561410721,0.789933487013082
"101-20210603","Pre 370",0.60148530043577,0.655189345117535,1.84435033449948,6.50279261032345,35.7177929172037,17.5366721905113,25.2455042042595,5.84453446265267,1.53286687534524,3.38795801878107,1.13085374087031
"102-20210603","Pre 371",0.719698573303416,0.850937724905804,2.15486219889082,3.24922738241395,42.0028787942932,17.7363363109098,21.5401549468693,6.98107616104314,0.273062105753355,3.57097497989078,0.92079082172643
"103-20210603","Pre 372",0.507504376733481,1.07598796152409,3.46401243189016,7.05981863603281,27.8399590849185,19.0609201959203,30.2732261935205,6.25135236146901,0.759289493872573,2.58276452190334,1.12516474221532
"104-20210603","Pre 373",0.830751657176483,0.723446234791187,4.14683535540594,7.51830249744717,30.8745391924402,17.0131016459267,26.7675106872739,6.82427871718098,0.816905796223541,3.65876875681476,0.82555945931913
"105-20210603","Pre 374",0.476125697184057,0.669976873894708,8.31179431369882,11.4729288532172,16.3668208407019,29.0096585498572,27.4486464426609,1.87389470820297,1.65963814447014,1.98272343898789,0.727792137124201
"106-20210603","3wk 367",2.20566895617684,6.42546193286253,0,0.253458450227339,42.4184966624746,0.0290219599496953,35.1320499177711,10.0744896972042,0,2.4668665957241,0.994485827609558
"107-20210603","3wk 368",1.97807507625404,0.0120798477939178,0,0.203847431522363,35.1674568900432,10.802403889711,39.8121583668046,9.23051369552744,0,1.61718962341075,1.17627517893275
"108-20210603","3wk 369",1.38659428841161,7.7727952167414,0,4.52560774132641,46.6662733065848,9.43867516324443,18.1161985681693,8.02651246951459,0,2.27755487373141,1.78978837227598
"109-20210603","3wk 370",0.898625475234626,3.79390104485151,0,10.8114215829633,29.7317416850557,1.46093106106931,42.1263924706883,7.9015234094595,0,2.23194108419961,1.04352218647808
"110-20210603","3wk 371",1.8469964458428,4.67866923032104,0,0.282584629726738,46.7124045912719,1.4041834178174,31.0449804812678,9.2539183126493,0,3.44199731981588,1.33426557128707
"111-20210603","3wk 372",0.966045296790583,1.50989301942824,0.134172957887581,17.4550073347884,26.1851944613403,5.97874700347061,41.2286664996959,3.51354252388279,0,2.19685856381266,0.831872338903002
"112-20210603","3wk 373",1.862872729527,1.29874155353047,0,0.702064348149526,44.1060690595747,0.536234579381315,37.7843903043829,8.55960572810117,0,3.63585642551609,1.51416527183684
"113-20210603","3wk 374",0.894604417109309,5.22959183673469,1.81541794800112,13.3561643835616,26.2213447022645,14.5827509085826,31.1836035784177,4.06415991053956,0,1.86259435280962,0.789767961979312
"122-20210603","Pre 351",0.692302851029014,0,1.74649128327774,6.84750456290515,24.6255270942161,23.1496632890679,31.9560702372711,4.48895462269495,2.02498583925987,3.46780791742715,1.00069230285103
"123-20210603","Pre 352",0.459898513351317,0,6.15337080654553,8.2734197673175,29.9064754186027,13.068485662337,29.6497878762671,7.12189093156187,2.20442310663228,2.42664796967284,0.735599947711797
"124-20210603","Pre 353",0.605541549559113,0,0.803367872522648,0.907106066271818,44.311890085765,7.28941749797952,29.7113424446026,8.73813343626735,0.231601548835358,6.51982485132869,0.881774646867951
"125-20210603","Pre 354",0.550650337035982,0,2.00187166863327,2.72205720795866,45.1641778898971,5.21219025918542,26.9343966581221,9.38682508035969,0.825975505553973,6.2524582604332,0.949397132820659
"126-20210603","Pre 355",0.469983151547397,0,1.81046968756466,3.67562294936597,42.7108273476989,13.2452484407792,25.124885460081,6.84431438621383,1.02568650054684,4.33478170908339,0.758180367118915
"127-20210603","Pre 356",0.812241641888462,0,3.3142359852056,5.03843643483936,33.8367539342955,17.800420625136,28.6351439553267,4.75016317354413,1.0298063673943,3.71491768801218,1.06788019435782
"128-20210603","Pre 357",0.895844175154264,0,1.3902312095755,2.19562362153991,44.6608678413005,1.08542115827819,33.2750972666221,9.59903848536664,0.337025747775878,5.45312616162367,1.10772433276336
"129-20210603","Pre 358",0.427763725636066,0,3.07121956058126,4.54545454545454,32.4716064077766,14.6022417299013,29.9409810048108,6.16847691315776,4.26399841293458,3.51882160392799,0.989436095819075
"130-20210603","Pre 359",0.217424848153292,0,1.56125068383622,0.848658278275751,39.1028068846526,25.9535131647239,18.4292106776642,9.77149349829567,0,3.3792029625889,0.736439001809536
"131-20210603","Pre 360",0.395504678894975,0,0.420876677163709,6.76686118532006,32.7045057683984,22.4228765876155,24.2616002268555,6.66089578078593,1.26113756100473,3.8565437368476,1.24919779711356
"132-20210603","Pre 361",0.684541714768866,0,1.66501357701501,1.63899773987415,42.4285783970992,19.0452187769305,19.6695988683111,9.7933366937123,0.377229638542463,3.48124420741126,1.21624038633518
"133-20210603","Pre 362",0.473710287488973,0,8.38660559993233,3.77276407535861,36.8805210813162,5.92017014900122,28.2763954514145,9.19505504465203,2.0036011649406,4.42169883143406,0.669478314461457
"134-20210603","Pre 363",0.58444145992296,0,5.08877311569284,3.86085570494561,35.9726670307127,8.49358737842585,29.4168868161223,8.81384949156545,1.46257951207993,5.50644213881961,0.799917351712738
"135-20210603","Pre 364",0.545083589634276,0,2.70714698985962,5.65181643777216,30.0572490027102,15.7526112244587,32.721763756509,5.19504247997808,3.1182435518743,3.71509485672524,0.535948110478395
"136-20210603","Pre 365",0.929316552297135,0,9.44548727574853,7.50992399298397,33.8261993414777,11.2902729482721,24.9007600701603,4.4942610087085,2.35252484844755,4.61734929378096,0.633904668123211
"137-20210603","Pre 366",0.952988099908461,0.573754413495488,0.160193539950307,0.549234994115339,54.6864783575258,6.71995553811952,21.8696874591343,7.59284686805283,0.0686543742644174,5.6803321564012,1.1458741990323
"138-20210603","3wk 351",1.12496428088012,0.207546886044728,0,14.4545878389556,30.8357522070656,6.80392835120543,33.9143643500624,2.7868433321803,7.58147719240198,1.26483283451896,1.02570272668481
"139-20210603","3wk 352",2.02155760054533,2.59032038173142,0,14.3191888207226,44.3741479209271,0.0170415814587594,24.5952624403545,7.5728527607362,0,2.84381390593047,1.66581458759373
"140-20210603","3wk 353",3.01321562188787,0,0.0322988722310446,1.05644227922375,34.7697359567195,1.96619384706484,49.4495733857293,5.77476919764218,0,2.24073426102872,1.6970365784728
"141-20210603","3wk 354",0.294779877940392,2.21307104343189,0.032588730224566,10.7942762339278,36.7941577294543,2.93150441429164,35.3513657640576,7.58724891864668,0,2.6796824080109,1.32132488001422
"142-20210603","3wk 355",2.11822486043389,0.153699385202459,0,0.328598685605258,41.5907003038655,0,45.5303512119285,5.4872447176878,0,2.52102324924034,2.27015758603632
"143-20210603","3wk 356",1.3726025900224,1.32123927654227,0,20.3005300256817,30.6048849789629,0.0382492759958472,37.2547948199552,5.17895196983771,0,2.78345445604065,1.14529260696137
"144-20210603","3wk 357",1.12683438155136,0.368417807374522,0,0.36225181896658,44.5862621778271,0,35.0844740411888,11.760081391047,0,4.48729806387964,2.224380318165
"145-20210603","3wk 358",0.766238946878532,0.232697294062895,0.182833588192274,16.6478292666711,22.5732996476298,26.9746027524766,27.5447111229307,2.85885246991556,0,1.73691908782661,0.482015823415996
"146-20210603","3wk 359",1.08873497607243,1.74566658875343,0,0.162387589651482,35.6539176006003,2.73598484382497,42.9306039096042,11.1407728173017,0,3.43843418996888,1.10349748422257
"147-20210603","3wk 360",0.345093875187026,0.483855398426565,0,0.18581977894686,25.1580674742989,25.9520247116174,38.401949901057,5.48771658863845,0,2.03919108065061,1.94628119117718
"148-20210603","3wk 361",0.28473338601128,0.381460995613199,0,2.68930001907305,38.9389934879159,2.5244543745402,43.2971853627967,8.27089180131332,0,2.38549358328111,1.22748698945533
"149-20210603","3wk 362",0.700236676732229,1.27805435403575,0,0.34766995837754,51.3164123071901,0.228515465600261,32.3594221823227,8.79458091895862,0,3.82436954215294,1.15073859462989
"150-20210603","3wk 363",0.368075948348687,0.321815036807595,0,0.366064604368639,51.3596685305121,0,28.8768655215415,13.942636469689,0,3.51784062110302,1.24703326762943
"151-20210603","3wk 364",1.476406919329,1.39138680880285,0,4.36872567934338,28.1923416500441,10.1746182270037,47.9071972793565,3.92891010758314,0,1.63500212550276,0.925411203034564
"152-20210603","3wk 365",1.50165808079755,1.28683754979456,0.43694078878762,6.27880785033474,39.7282416001001,3.97730827789017,35.1085573654243,6.95455398669364,0.174150624648049,3.12115460821324,1.43178926731599
"153-20210603","3wk 366",1.24544905045053,0.655055595383685,0.0168683844304812,0.790002670827535,44.3371427768172,1.29043140893181,39.053121353969,7.25199960640436,0,4.43497940651401,0.924949746271384
"98-20210603","Pre 367",0.852747552614524,0.347921001466726,2.69638776136712,7.82481154279087,29.6960807722482,14.5649281986561,34.02803833953,5.27168537026299,2.19326670532456,1.65433025207218,0.869802503666814
"99-20210603","Pre 368",0.795917027701195,2.06117894184062,0.172311933832217,0.690888801365367,47.7320467375607,3.46593146908232,22.4317316528817,14.0032164894315,0,6.88263095706971,1.76414598923461
