"OTU","Stress.Mean.Decrease.Gini","Kingdom","Phylum","Class","Order","Family","Genus","Stress.RF.Rank","Enrichment.Stress","ASV.Family"
"ASV195",0.728191180882241,"Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010",NA,1,"3 Wk Stress","ASV195  ( UCG-010 )"
"ASV159",0.620447772447686,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-001",2,"3 Wk Stress","ASV159  ( Lachnospiraceae )"
"ASV50",0.533515826902566,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",3,"Baseline","ASV50  ( Clostridiaceae )"
"ASV73",0.477867669043801,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,4,"3 Wk Stress","ASV73  ( Lachnospiraceae )"
"ASV104",0.464138316658402,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,5,"3 Wk Stress","ASV104  ( Lachnospiraceae )"
"ASV422",0.356043091170395,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,6,"3 Wk Stress","ASV422  ( NA )"
"ASV158",0.344270613018321,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",7,"Baseline","ASV158  ( Clostridiaceae )"
"ASV86",0.339552891053473,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",8,"Baseline","ASV86  ( Peptostreptococcaceae )"
"ASV13",0.33731683075827,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",9,"Baseline","ASV13  ( Lachnospiraceae )"
"ASV89",0.330205374591308,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",10,"3 Wk Stress","ASV89  ( Lachnospiraceae )"
"ASV42",0.317002580969655,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] ventriosum group",11,"3 Wk Stress","ASV42  ( Lachnospiraceae )"
"ASV413",0.288697507484775,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae",NA,12,"3 Wk Stress","ASV413  ( Erysipelatoclostridiaceae )"
"ASV6",0.280458526814789,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,13,"3 Wk Stress","ASV6  ( Muribaculaceae )"
"ASV161",0.27581791117921,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,14,"Baseline","ASV161  ( Lachnospiraceae )"
"ASV206",0.271345303034001,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae FCS020 group",15,"Baseline","ASV206  ( Lachnospiraceae )"
"ASV84",0.229329029032916,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",16,"Baseline","ASV84  ( Lachnospiraceae )"
