"OTU","Mucin.Mean.Decrease.Gini","Kingdom","Phylum","Class","Order","Family","Genus","Mucin.RF.Rank","Enrichment.Mucin","ASV.Family"
"ASV85",0.310879487179487,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",1,"Stress + Mucin","ASV85  ( Rikenellaceae )"
"ASV63",0.276094444444444,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",2,"Stress Alone","ASV63  ( Lachnospiraceae )"
"ASV176",0.263729148629149,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",3,"Stress Alone","ASV176  ( Lachnospiraceae )"
"ASV186",0.23795303030303,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella",4,"Stress + Mucin","ASV186  ( Lachnospiraceae )"
"ASV49",0.23476911976912,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",5,"Stress Alone","ASV49  ( Lachnospiraceae )"
"ASV105",0.206529292929293,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum",6,"Stress + Mucin","ASV105  ( Muribaculaceae )"
"ASV129",0.185585425685426,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",7,"Stress Alone","ASV129  ( Lachnospiraceae )"
"ASV259",0.184161111111111,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium",8,"Stress Alone","ASV259  ( Erysipelatoclostridiaceae )"
"ASV87",0.172537229437229,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,9,"Stress + Mucin","ASV87  ( Muribaculaceae )"
"ASV288",0.144450865800866,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575",10,"Stress Alone","ASV288  ( Lachnospiraceae )"
"ASV312",0.129880158730159,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,11,"Stress Alone","ASV312  ( Lachnospiraceae )"
