"OTU","Stress.Mean.Decrease.Gini","Kingdom","Phylum","Class","Order","Family","Genus","Stress.RF.Rank","Enrichment.Stress","ASV.Family"
"ASV237",0.177647619047619,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,1,"Stress Post","ASV237  ( NA )"
"ASV520",0.161666666666667,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,2,"Stress Post","ASV520  ( NA )"
"ASV30",0.161,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",3,"Stress Post","ASV30  ( Lachnospiraceae )"
"ASV232",0.1511,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] nodatum group",4,"Stress Post","ASV232  ( Anaerovoracaceae )"
"ASV32",0.130766666666667,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,5,"Stress Post","ASV32  ( Oscillospiraceae )"
"ASV313",0.127166666666667,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",6,"Stress Post","ASV313  ( Oscillospiraceae )"
"ASV59",0.1216,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,7,"Stress Post","ASV59  ( [Eubacterium] coprostanoligenes group )"
"ASV9",0.117444444444444,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",8,"Stress Post","ASV9  ( Bacteroidaceae )"
"ASV183",0.116766666666667,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",9,"Naive Post","ASV183  ( Oscillospiraceae )"
"ASV457",0.1165,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,10,"Stress Post","ASV457  ( NA )"
"ASV100",0.0964523809523809,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",11,"Stress Post","ASV100  ( Staphylococcaceae )"
"ASV204",0.0891904761904762,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae FCS020 group",12,"Naive Post","ASV204  ( Lachnospiraceae )"
"ASV323",0.0874642857142857,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,13,"Naive Post","ASV323  ( Lachnospiraceae )"
"ASV282",0.0854444444444444,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-001",14,"Stress Post","ASV282  ( Lachnospiraceae )"
