"","OTU","Stress.Mean.Decrease.Gini","Pre.vs.Post.Mean.Decrease.Gini","Stress.RF.Rank","Pre.Post.RF.Rank","Enrichment.Stress","Enrichment.Pre.Post","Kingdom","Phylum","Class","Order","Family","Genus","ASV.Family"
"1","ASV104",0.464138316658402,0.131328571428571,5,5,"3 Wk Stress","Stress Post","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,"ASV104  ( Lachnospiraceae )"
"2","ASV129",0.216305328718409,0.12534126984127,18,6,"Baseline","Stress Pre","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","ASV129  ( Lachnospiraceae )"
"3","ASV59",0.207144672650976,0.0970238095238095,21,12,"3 Wk Stress","Stress Post","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,"ASV59  ( [Eubacterium] coprostanoligenes group )"
"4","ASV50",0.533515826902566,0.0906388888888889,3,15,"Baseline","Stress Pre","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","ASV50  ( Clostridiaceae )"
"5","ASV159",0.620447772447686,0.0688547619047619,2,22,"3 Wk Stress","Stress Post","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-001","ASV159  ( Lachnospiraceae )"
"6","ASV1",0.207244863409724,0.0599,20,28,"Baseline","Stress Pre","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","ASV1  ( Lactobacillaceae )"
"7","ASV34",0.103336070791953,0.0543761904761905,44,33,"3 Wk Stress","Stress Post","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group","ASV34  ( Lachnospiraceae )"
"8","ASV73",0.477867669043801,0.0541198412698413,4,34,"3 Wk Stress","Stress Post","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,"ASV73  ( Lachnospiraceae )"
"9","ASV96",0.178644356662429,0.0477333333333333,26,38,"3 Wk Stress","Stress Post","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,"ASV96  ( Lachnospiraceae )"
"10","ASV40",0.104193324489147,0.0359318181818182,42,49,"Baseline","Stress Pre","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis","ASV40  ( Ruminococcaceae )"
