"","Input","Filtered","DenoisedF","DenoisedR","merged","Non-Chimera","Percent.Input"
"1-20210603",114290,111519,110751,110073,100584,81044,70.9108408434684
"10-20210603",91084,86510,85793,85534,76327,65198,71.580079926222
"100-20210603",88655,85662,85275,85066,79480,69480,78.3712142575151
"101-20210603",87153,83813,83298,82972,75449,66798,76.6445217032116
"102-20210603",69148,63438,63102,62684,55262,48880,70.6889570197258
"103-20210603",71342,69056,68487,68208,61642,51890,72.7341537943988
"104-20210603",72678,71264,70861,70467,65639,58980,81.1524808057459
"105-20210603",78742,76370,75885,75898,69927,60777,77.1849838713774
"106-20210603",71543,66079,65733,65561,60866,56256,78.6324308457851
"107-20210603",102885,90542,89982,89623,79160,69447,67.4996355153813
"108-20210603",96089,83308,82469,81946,67814,54733,56.9607343192249
"109-20210603",113446,109898,108973,108543,98545,79753,70.3004072422121
"11-20210603",99425,88934,88235,87714,76688,65564,65.9431732461655
"110-20210603",104647,100032,99220,98916,88993,75040,71.7077412634858
"111-20210603",75678,74195,73734,73425,68446,58899,77.8284309839055
"112-20210603",91437,88519,87987,87631,80221,69488,75.9954941653816
"113-20210603",73201,70819,70411,70245,65128,59094,80.7284053496537
"114-20210603",68287,62053,61715,61235,54568,47969,70.2461669131753
"115-20210603",76502,72271,71579,71414,64250,53030,69.3184491908708
"116-20210603",81940,78953,78426,78046,71688,58123,70.9336099585062
"117-20210603",92445,88065,86881,86892,76931,61234,66.238303856347
"118-20210603",55580,51685,51346,51094,45037,40717,73.2583663188197
"119-20210603",97237,86011,85467,84986,74094,65596,67.4599175211082
"12-20210603",106560,96386,95513,94960,81880,68314,64.1084834834835
"120-20210603",58679,50384,50008,49499,42024,39993,68.1555582065134
"121-20210603",144029,138492,137381,137048,125820,95247,66.1304320657645
"122-20210603",95618,91694,91054,90701,81531,64507,67.4632391390742
"123-20210603",117773,115646,114661,114340,104634,86085,73.0940028699277
"124-20210603",116767,113222,112513,111871,102668,85014,72.8065292419947
"125-20210603",96546,93273,92721,92453,84528,75804,78.5159405879063
"126-20210603",97607,90149,89617,89306,80077,69386,71.0871146536621
"127-20210603",72608,70577,70119,69847,64157,56262,77.4873292199207
"128-20210603",108103,106177,105548,104849,96786,83112,76.8822326854944
"129-20210603",115267,111888,111169,110959,101054,83354,72.3138452462543
"13-20210603",95196,91905,91248,90830,82782,68896,72.3727887726375
"130-20210603",97321,91523,91011,90836,82841,72702,74.7033014457311
"131-20210603",96176,86838,86367,86014,76495,68080,70.7868907003826
"132-20210603",90342,79646,79086,78743,68377,62292,68.9513183237033
"133-20210603",123627,119992,119223,118615,106333,86870,70.2678217541475
"134-20210603",100594,95738,94991,94695,83915,70113,69.6989880112134
